transaction_id,user_id,product_id,amount,transaction_date,payment_method
1f5c0c49-2d1b-4fd0-8244-1533b9e2bf5b,1,47,18.76,2023-05-11 15:41:35,credit_card
f3a45512-e9f8-4c27-a401-b6b9bc3ff27a,1,23,60.09,2023-07-04 20:25:49,credit_card
7d87c0fd-66b7-4ed1-af47-c9636288337f,1,83,47.52,2023-07-20 05:21:16,bitcoin
517d8a59-1f13-46c7-93fb-be7b1495514b,1,77,51.36,2023-01-02 20:51:19,paypal
835ccc14-30a8-4b82-94fc-0e9a91a5c50e,2,24,34.37,2023-01-01 04:51:06,paypal
699a9de3-b492-4089-abc2-c26d9b507e82,2,71,38.92,2023-08-21 17:37:05,bitcoin
45c839ba-0dbc-486c-867f-7d94c74fdf37,2,57,111.0,2023-01-01 16:56:10,bitcoin
349cbc93-da24-497d-bbb7-5b1eb91a75bc,2,69,26.0,2023-06-09 23:27:10,credit_card
c067cfb5-503c-4906-9bed-f292bbbef7f0,3,37,151.74,2023-03-24 22:11:26,paypal
aa7eb1ca-5bb9-42df-aba7-c84b55041707,3,46,192.89,2023-02-01 22:07:27,bitcoin
1a977847-f378-4ec1-92df-b5ab36970ba1,3,1,153.46,2023-01-06 00:01:37,paypal
12d0d588-3a26-4065-859c-00f052195d99,3,27,169.69,2023-08-30 12:12:50,credit_card
ef5351f2-f794-4fdc-9220-3b7267763eec,4,69,26.0,2023-05-25 12:56:52,bitcoin
98929adb-52f0-4656-a697-e122d8714feb,4,43,96.54,2023-02-09 17:54:14,paypal
a797aebe-99b0-44e7-925a-700d4e9d66c5,4,82,51.34,2023-02-18 21:58:54,paypal
de408e48-709d-4651-b61e-6721a89622b3,4,37,151.74,2023-02-12 22:28:31,paypal
317758d9-9533-4a03-8ab3-d657f6a5a873,5,31,59.49,2023-01-16 07:31:53,credit_card
b8464f74-5f60-4ae0-8f8c-00c085431d89,5,51,85.62,2023-05-04 01:50:22,paypal
56866e1b-f5fc-4056-9644-518976dac7d3,5,6,28.09,2023-07-29 17:39:50,bitcoin
c856b350-f6cd-49e4-a7e3-681fd87f7327,5,92,108.96,2023-04-18 20:26:44,bitcoin
8b9401e2-2a8c-42d1-b48b-f62d4b7aefb3,6,15,27.85,2023-04-01 23:15:53,bitcoin
54a12842-f16f-4ec1-ba43-18946a704872,6,56,139.75,2023-01-31 17:42:10,paypal
e7b02dce-7554-4863-be6c-f43ee75d85d0,6,52,176.72,2023-08-22 10:20:57,paypal
51181ecf-aeb8-45e6-a8fa-655245f3ae7f,6,56,139.75,2023-07-06 15:13:22,credit_card
29b14e5c-d35c-4f3e-aa7f-16ec395632ce,7,70,86.68,2023-05-25 15:18:23,paypal
d16408f2-4e47-4eaa-9fdc-7a32fe0a8e02,7,35,74.03,2023-04-16 13:51:50,paypal
f8e94162-75f6-4099-9455-5356414978c6,7,66,144.03,2023-02-20 14:34:44,paypal
