product_id,name,price
25,telecamera,191.07
82,Portatile,51.34
24,occhiali da sole,34.37
33,frigorifero,70.02
13,maglia,159.38
12,collana,108.69
61,Borsa da viaggio,184.47
5,orologio,167.94
53,Macchina da caffè,13.44
51,Forno a microonde,85.62
51,Forno a microonde,85.62
66,Sedia da ufficio,144.03
76,Letto a baldacchino,16.05
17,console,54.92
4,libro,94.98
85,Ombrello pieghevole,34.38
57,Frigorifero doppia porta,111.0
2,cellulare,88.67
79,Penna stilografica,54.4
73,Tavolo da pranzo,184.99
39,cucchiaio,36.51
3,computer,150.54
16,tablet,38.04
38,bicchiere,183.59
55,Monitor PC,56.1
18,ocarina,51.37
71,Telefono cordless,38.92
68,Orologio da polso,140.49
97,Smartwatch,44.1
7,borsa,138.96
56,Giocattoli per bambini,139.75
21,bicicletta,64.26
92,Pantofole da casa,108.96
19,frullatore,178.2
33,frigorifero,70.02
63,Macchina per il fitness,69.59
36,cuffie,102.43
45,divano,76.25
25,telecamera,191.07
52,Aspirapolvere robot,176.72
15,automobile,27.85
37,piatto,151.74
63,Macchina per il fitness,69.59
10,occhiali,25.77
21,bicicletta,64.26
50,Stampante laser,192.34
1,palla,153.46
42,tazza,71.68
27,altoparlante,169.69
88,Set di posate in acciaio inox,165.51
37,piatto,151.74
21,bicicletta,64.26
49,Videogiochi,5.53
46,letto,192.89
77,Lavatrice,51.36
13,maglia,159.38
82,Portatile,51.34
83,Orologio da parete,47.52
27,altoparlante,169.69
51,Forno a microonde,85.62
91,Cuscino memory foam,191.88
14,pantaloni,58.35
87,Set di pentole antiaderenti,20.89
92,Pantofole da casa,108.96
48,Auricolari wireless,51.13
65,Piumino,195.29
93,Videoproiettore HD,20.92
92,Pantofole da casa,108.96
30,radiatore,38.31
75,Altoparlante Bluetooth,95.17
13,maglia,159.38
1,palla,153.46
23,ventilatore,60.09
81,Pentola a pressione,127.63
65,Piumino,195.29
81,Pentola a pressione,127.63
33,frigorifero,70.02
63,Macchina per il fitness,69.59
90,Kit per il trucco,142.18
41,coltello,172.48
6,scarpe,28.09
82,Portatile,51.34
58,Telefono cellulare,198.63
86,Olio di oliva extra vergine,1.41
86,Olio di oliva extra vergine,1.41
28,radio,58.1
76,Letto a baldacchino,16.05
39,cucchiaio,36.51
55,Monitor PC,56.1
60,Tostapane,48.14
14,pantaloni,58.35
9,televisore,189.85
56,Giocattoli per bambini,139.75
9,televisore,189.85
