product_id,name,price
86,Olio di oliva extra vergine,1.41
95,Lavastoviglie,92.05
1,palla,153.46
29,macchina fotografica,45.89
78,Tappeto persiano,170.19
7,borsa,138.96
62,Cuffie Bluetooth,101.36
24,occhiali da sole,34.37
11,bracciale,53.8
34,tostapane,21.55
30,radiatore,38.31
36,cuffie,102.43
60,Tostapane,48.14
93,Videoproiettore HD,20.92
41,coltello,172.48
97,Smartwatch,44.1
93,Videoproiettore HD,20.92
34,tostapane,21.55
92,Pantofole da casa,108.96
4,libro,94.98
10,occhiali,25.77
24,occhiali da sole,34.37
60,Tostapane,48.14
69,Scarpe da ginnastica,26.0
92,Pantofole da casa,108.96
41,coltello,172.48
54,Tablet Android,22.77
95,Lavastoviglie,92.05
23,ventilatore,60.09
86,Olio di oliva extra vergine,1.41
21,bicicletta,64.26
27,altoparlante,169.69
18,ocarina,51.37
25,telecamera,191.07
39,cucchiaio,36.51
39,cucchiaio,36.51
80,Fornello a gas,104.06
58,Telefono cellulare,198.63
39,cucchiaio,36.51
53,Macchina da caffè,13.44
57,Frigorifero doppia porta,111.0
7,borsa,138.96
62,Cuffie Bluetooth,101.36
71,Telefono cordless,38.92
61,Borsa da viaggio,184.47
13,maglia,159.38
90,Kit per il trucco,142.18
59,Smart TV 4K,133.85
12,collana,108.69
53,Macchina da caffè,13.44
68,Orologio da polso,140.49
27,altoparlante,169.69
1,palla,153.46
24,occhiali da sole,34.37
74,Abbigliamento sportivo,59.94
27,altoparlante,169.69
51,Forno a microonde,85.62
77,Lavatrice,51.36
51,Forno a microonde,85.62
40,forchetta,10.2
13,maglia,159.38
69,Scarpe da ginnastica,26.0
85,Ombrello pieghevole,34.38
41,coltello,172.48
78,Tappeto persiano,170.19
28,radio,58.1
67,Bicicletta da corsa,7.68
69,Scarpe da ginnastica,26.0
11,bracciale,53.8
8,giocattolo,164.21
16,tablet,38.04
1,palla,153.46
69,Scarpe da ginnastica,26.0
49,Videogiochi,5.53
4,libro,94.98
9,televisore,189.85
69,Scarpe da ginnastica,26.0
38,bicchiere,183.59
31,ventola,59.49
65,Piumino,195.29
49,Videogiochi,5.53
61,Borsa da viaggio,184.47
59,Smart TV 4K,133.85
58,Telefono cellulare,198.63
51,Forno a microonde,85.62
20,tappeto,144.36
71,Telefono cordless,38.92
94,Valigia rigida,111.65
1,palla,153.46
94,Valigia rigida,111.65
66,Sedia da ufficio,144.03
38,bicchiere,183.59
76,Letto a baldacchino,16.05
63,Macchina per il fitness,69.59
67,Bicicletta da corsa,7.68
50,Stampante laser,192.34
26,microfono,6.71
16,tablet,38.04
34,tostapane,21.55
60,Tostapane,48.14
51,Forno a microonde,85.62
65,Piumino,195.29
63,Macchina per il fitness,69.59
12,collana,108.69
85,Ombrello pieghevole,34.38
68,Orologio da polso,140.49
58,Telefono cellulare,198.63
12,collana,108.69
67,Bicicletta da corsa,7.68
29,macchina fotografica,45.89
88,Set di posate in acciaio inox,165.51
72,Macchina fotografica digitale,114.99
30,radiatore,38.31
14,pantaloni,58.35
15,automobile,27.85
33,frigorifero,70.02
